GeneID	source	PFAMpref	Desc	GDBpfam_start	GDBpfam_end	pVal
GL50803_17187	InterproscanData_RSRC	PF04561	RNA_pol_Rpb2_2	190	298	1.6e-10
GL50803_17187	InterproscanData_RSRC	PF04563	RNA_pol_Rpb2_1	35	514	2.8e-39
GL50803_17187	InterproscanData_RSRC	PF04565	RNA_pol_Rpb2_3	530	595	2.9e-16
GL50803_17187	InterproscanData_RSRC	PF04566	RNA_pol_Rpb2_4	632	696	1.2e-15
GL50803_17187	InterproscanData_RSRC	PF04567	RNA_pol_Rpb2_5	716	755	1.1e-11
GL50803_101450	InterproscanData_RSRC	PF00023	Ank	448	468	4.1e-4
GL50803_101450	InterproscanData_RSRC	PF12796	Ank_2	360	446	1.6e-11
GL50803_15521	InterproscanData_RSRC	PF03302	VSP	106	471	6.1e-35
GL50803_11897	InterproscanData_RSRC	PF01504	PIP5K	118	480	3.8e-56
GL50803_15520	InterproscanData_RSRC	PF01157	Ribosomal_L21e	3	99	7.1e-34
GL50803_11885	InterproscanData_RSRC	PF12799	LRR_4	102	142	1.3e-6
GL50803_11885	InterproscanData_RSRC	PF12799	LRR_4	162	198	1.9e-7
GL50803_11884	InterproscanData_RSRC	PF09138	Urm1	2	95	1.3e-23
GL50803_15514	InterproscanData_RSRC	PF00069	Pkinase	16	275	3.1e-63
GL50803_15513	InterproscanData_RSRC	PF08149	BING4CT	398	466	1.2e-16
GL50803_24979	InterproscanData_RSRC	PF00085	Thioredoxin	172	234	4.3e-5
GL50803_14741	InterproscanData_RSRC	PF12796	Ank_2	303	382	3.2e-7
GL50803_14742	InterproscanData_RSRC	PF00069	Pkinase	10	280	3.2e-36
GL50803_87928	InterproscanData_RSRC	PF00069	Pkinase	78	279	2.7e-17
GL50803_40904	InterproscanData_RSRC	PF00069	Pkinase	12	283	1.7e-38
GL50803_11044	InterproscanData_RSRC	PF03637	Mob1_phocein	37	204	1.4e-52
GL50803_11043	InterproscanData_RSRC	PF01116	F_bP_aldolase	3	307	2.9e-103
GL50803_11040	InterproscanData_RSRC	PF00069	Pkinase	22	271	1.2e-34
GL50803_11039	InterproscanData_RSRC	PF00022	Actin	19	192	1.1e-7
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	757	986	8.9e-18
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	15	330	1.3e-42
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	372	655	1.2e-24
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	1081	1339	3.6e-18
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	1906	2139	2.8e-13
GL50803_87945	InterproscanData_RSRC	PF00069	Pkinase	2186	2470	2.7e-33
GL50803_15329	InterproscanData_RSRC	PF12796	Ank_2	1110	1194	5.8e-18
GL50803_13215	InterproscanData_RSRC	PF00069	Pkinase	49	310	3.4e-59
GL50803_13215	InterproscanData_RSRC	PF12796	Ank_2	538	602	9.5e-11
GL50803_15089	InterproscanData_RSRC	PF08609	Fes1	1	84	1.1e-17
GL50803_101501	InterproscanData_RSRC	PF00587	tRNA-synt_2b	184	261	2.4e-8
GL50803_101501	InterproscanData_RSRC	PF00587	tRNA-synt_2b	286	376	1.5e-15
GL50803_101501	InterproscanData_RSRC	PF02403	Seryl_tRNA_N	2	113	2.8e-22
GL50803_15090	InterproscanData_RSRC	PF03313	SDH_alpha	224	490	1.4e-52
GL50803_15090	InterproscanData_RSRC	PF03315	SDH_beta	47	107	1.5e-17
GL50803_15090	InterproscanData_RSRC	PF03315	SDH_beta	109	151	4.2e-8
GL50803_113801	InterproscanData_RSRC	PF03302	VSP	434	806	6.6e-76
GL50803_113797	InterproscanData_RSRC	PF03302	VSP	18	210	5.3e-14
GL50803_113797	InterproscanData_RSRC	PF03302	VSP	315	713	0
GL50803_113793	InterproscanData_RSRC	PF00892	EamA	139	212	7.1e-6
GL50803_10019	InterproscanData_RSRC	PF00122	E1-E2_ATPase	98	193	1.9e-12
GL50803_10019	InterproscanData_RSRC	PF12710	HAD	673	1244	2.5e-11
GL50803_16475	InterproscanData_RSRC	PF01541	GIY-YIG	13	82	2.6e-8
GL50803_113788	InterproscanData_RSRC	PF02197	RIIa	13	45	6.9e-10
GL50803_16477	InterproscanData_RSRC	PF07974	EGF_2	352	377	1.3e-5
GL50803_14581	InterproscanData_RSRC	PF00012	HSP70	9	602	0
GL50803_14584	InterproscanData_RSRC	PF13418	Kelch_4	235	276	8e-9
GL50803_7909	InterproscanData_RSRC	PF01490	Aa_trans	52	438	1.6e-25
GL50803_21592	InterproscanData_RSRC	PF13023	HD_3	17	171	2.7e-26
GL50803_42357	InterproscanData_RSRC	PF00787	PX	916	1021	6.1e-9
GL50803_7710	InterproscanData_RSRC	PF12796	Ank_2	486	533	1.4e-7
GL50803_14519	InterproscanData_RSRC	PF00266	Aminotran_5	2	394	1.5e-71
GL50803_7717	InterproscanData_RSRC	PF06093	Spt4	19	88	1.3e-7
GL50803_7718	InterproscanData_RSRC	PF09668	Asp_protease	91	212	1.9e-25
GL50803_14521	InterproscanData_RSRC	PF00578	AhpC-TSA	6	140	8.1e-32
GL50803_14521	InterproscanData_RSRC	PF10417	1-cysPrx_C	161	196	4.9e-9
GL50803_16596	InterproscanData_RSRC	PF00787	PX	479	585	6.2e-12
GL50803_7723	InterproscanData_RSRC	PF00787	PX	598	690	1.2e-8
GL50803_16595	InterproscanData_RSRC	PF00787	PX	1708	1799	4.1e-13
GL50803_6544	InterproscanData_RSRC	PF13879	KIAA1430	31	124	1.3e-6
GL50803_6542	InterproscanData_RSRC	PF12796	Ank_2	29	109	2.1e-11
GL50803_95593	InterproscanData_RSRC	PF00069	Pkinase	11	275	1.5e-68
GL50803_102710	InterproscanData_RSRC	PF00443	UCH	317	807	3.6e-21
GL50803_102710	InterproscanData_RSRC	PF02148	zf-UBP	176	247	6.7e-16
GL50803_5489	InterproscanData_RSRC	PF00069	Pkinase	79	303	2.8e-9
GL50803_5489	InterproscanData_RSRC	PF00023	Ank	351	371	0.016
GL50803_5489	InterproscanData_RSRC	PF12796	Ank_2	386	468	3.6e-13
GL50803_16592	InterproscanData_RSRC	PF00005	ABC_tran	773	868	1.5e-12
GL50803_16592	InterproscanData_RSRC	PF00005	ABC_tran	2146	2253	1.9e-12
GL50803_16592	InterproscanData_RSRC	PF12698	ABC2_membrane_3	264	510	5.4e-8
GL50803_16592	InterproscanData_RSRC	PF12698	ABC2_membrane_3	1655	1918	2.8e-9
GL50803_38394	InterproscanData_RSRC	PF12796	Ank_2	39	120	1e-11
GL50803_38394	InterproscanData_RSRC	PF12796	Ank_2	437	514	1.5e-14
GL50803_38394	InterproscanData_RSRC	PF12796	Ank_2	534	625	5.3e-17
GL50803_42368	InterproscanData_RSRC	PF04130	Spc97_Spc98	101	739	2.9e-17
GL50803_6752	InterproscanData_RSRC	PF00581	Rhodanese	30	124	5.9e-6
GL50803_95557	InterproscanData_RSRC	PF12796	Ank_2	480	567	4.4e-12
GL50803_95557	InterproscanData_RSRC	PF12796	Ank_2	633	720	1.6e-11
GL50803_102722	InterproscanData_RSRC	PF04950	DUF663	799	1096	9.2e-63
GL50803_102722	InterproscanData_RSRC	PF08142	AARP2CN	239	331	8.7e-20
GL50803_95549	InterproscanData_RSRC	PF00069	Pkinase	22	265	6.6e-18
GL50803_95549	InterproscanData_RSRC	PF12796	Ank_2	339	416	9.6e-12
GL50803_95549	InterproscanData_RSRC	PF12796	Ank_2	435	511	2.5e-11
GL50803_95549	InterproscanData_RSRC	PF12796	Ank_2	587	667	2.3e-15
GL50803_17308	InterproscanData_RSRC	PF01331	mRNA_cap_enzyme	158	287	2.6e-15
GL50803_5768	InterproscanData_RSRC	PF00027	cNMP_binding	142	192	1.8e-5
GL50803_5772	InterproscanData_RSRC	PF01233	NMT	34	196	1.5e-40
GL50803_5772	InterproscanData_RSRC	PF02799	NMT_C	212	408	9.3e-27
GL50803_95530	InterproscanData_RSRC	PF12717	Cnd1	1239	1437	1.1e-10
GL50803_7390	InterproscanData_RSRC	PF01207	Dus	87	251	8.8e-9
GL50803_24842	InterproscanData_RSRC	PF12796	Ank_2	1046	1115	2.7e-10
GL50803_24842	InterproscanData_RSRC	PF12796	Ank_2	1270	1366	7.5e-7
GL50803_17315	InterproscanData_RSRC	PF00005	ABC_tran	687	828	2.4e-15
GL50803_113741	InterproscanData_RSRC	PF00884	Sulfatase	436	724	2.5e-15
GL50803_14104	InterproscanData_RSRC	PF05057	DUF676	520	648	3.2e-8
GL50803_6055	InterproscanData_RSRC	PF01728	FtsJ	18	195	1.2e-61
GL50803_6054	InterproscanData_RSRC	PF00076	RRM_1	11	78	3.1e-13
GL50803_17316	InterproscanData_RSRC	PF01513	NAD_kinase	214	506	2.1e-47
GL50803_4368	InterproscanData_RSRC	PF12796	Ank_2	49	127	1.6e-8
GL50803_4369	InterproscanData_RSRC	PF00581	Rhodanese	8	101	2.3e-11
GL50803_4371	InterproscanData_RSRC	PF00225	Kinesin	19	362	4.6e-105
GL50803_24636	InterproscanData_RSRC	PF00004	AAA	38	157	3.1e-14
GL50803_24636	InterproscanData_RSRC	PF08542	Rep_fac_C	231	313	7.2e-9
GL50803_17318	InterproscanData_RSRC	PF00069	Pkinase	49	295	1.5e-36
GL50803_17318	InterproscanData_RSRC	PF12796	Ank_2	938	1012	4.1e-11
GL50803_17318	InterproscanData_RSRC	PF12796	Ank_2	1020	1072	9.5e-7
GL50803_14203	InterproscanData_RSRC	PF00023	Ank	31	51	3.4e-5
GL50803_14203	InterproscanData_RSRC	PF00023	Ank	171	194	5.1e-5
GL50803_14203	InterproscanData_RSRC	PF12796	Ank_2	67	136	9.1e-7
GL50803_14203	InterproscanData_RSRC	PF12796	Ank_2	203	254	1.9e-11
GL50803_14203	InterproscanData_RSRC	PF12796	Ank_2	267	316	2.7e-6
GL50803_14203	InterproscanData_RSRC	PF13920	zf-C3HC4_3	492	536	4.6e-13
GL50803_6436	InterproscanData_RSRC	PF00156	Pribosyltran	33	145	4.2e-11
GL50803_33985	InterproscanData_RSRC	PF00560	LRR_1	89	107	0.96
GL50803_6439	InterproscanData_RSRC	PF13405	EF_hand_4	23	49	0.0019
GL50803_6439	InterproscanData_RSRC	PF13833	EF_hand_6	113	143	1.8e-4
GL50803_6441	InterproscanData_RSRC	PF00149	Metallophos	173	480	6.1e-23
GL50803_14206	InterproscanData_RSRC	PF00023	Ank	302	321	0.011
GL50803_14206	InterproscanData_RSRC	PF00023	Ank	613	634	0.0088
GL50803_14206	InterproscanData_RSRC	PF12796	Ank_2	14	90	1.3e-7
GL50803_14206	InterproscanData_RSRC	PF12796	Ank_2	648	743	4.4e-10
GL50803_14206	InterproscanData_RSRC	PF12796	Ank_2	933	1017	1.4e-12
GL50803_14206	InterproscanData_RSRC	PF13920	zf-C3HC4_3	1269	1311	1.4e-12
GL50803_7950	InterproscanData_RSRC	PF00004	AAA	167	305	5.6e-36
GL50803_14589	InterproscanData_RSRC	PF13405	EF_hand_4	11	33	3.1e-4
GL50803_7953	InterproscanData_RSRC	PF02374	ArsA_ATPase	15	337	8.8e-93
GL50803_113723	InterproscanData_RSRC	PF01437	PSI	132	168	6.2e-5
GL50803_103713	InterproscanData_RSRC	PF00085	Thioredoxin	17	115	2.9e-31
GL50803_103713	InterproscanData_RSRC	PF13848	Thioredoxin_6	147	328	5.9e-32
GL50803_28831	InterproscanData_RSRC	PF01416	PseudoU_synth_1	44	148	1.2e-8
GL50803_28831	InterproscanData_RSRC	PF01416	PseudoU_synth_1	266	374	1.2e-5
GL50803_9430	InterproscanData_RSRC	PF04857	CAF1	4	493	2.9e-21
GL50803_9427	InterproscanData_RSRC	PF02493	MORN	19	30	0.11
GL50803_9427	InterproscanData_RSRC	PF02493	MORN	44	52	5.4
GL50803_9427	InterproscanData_RSRC	PF02493	MORN	120	128	1.7
GL50803_9427	InterproscanData_RSRC	PF02493	MORN	130	147	0.0039
GL50803_93358	InterproscanData_RSRC	PF00465	Fe-ADH	475	879	5.3e-101
GL50803_93358	InterproscanData_RSRC	PF00171	Aldedh	15	420	6.1e-25
GL50803_5435	InterproscanData_RSRC	PF08263	LRRNT_2	19	58	3.6e-7
GL50803_16143	InterproscanData_RSRC	PF00176	SNF2_N	509	770	2.8e-45
GL50803_16143	InterproscanData_RSRC	PF00176	SNF2_N	933	1020	9.4e-10
