struc1	struc2	TM
GL_17069	GL_101307	0.76214
GL_17084	GL_101307	0.30949
GL_17188	GL_101307	0.63706
GL_17216	GL_101307	0.6715
GL_17231	GL_101307	0.27887
GL_17299	GL_101307	0.28693
GL_17318	GL_101307	0.28743
GL_17510	GL_101307	0.69802
GL_17578	GL_101307	0.31221
GL_2082	GL_101307	0.70876
GL_21366	GL_101307	0.69165
GL_21924	GL_101307	0.31596
GL_22451	GL_101307	0.26536
GL_24321	GL_101307	0.74269
GL_24400	GL_101307	0.7175
GL_2483	GL_101307	0.83992
GL_26199	GL_101307	0.7787
GL_27124	GL_101307	0.19842
GL_30354	GL_101307	0.66971
GL_3449	GL_101307	0.27055
GL_3546	GL_101307	0.7205
GL_3677	GL_101307	0.38693
GL_36783	GL_101307	0.6301
GL_38578	GL_101307	0.32445
GL_3957	GL_101307	0.67125
GL_40904	GL_101307	0.28763
GL_41186	GL_101307	0.30998
GL_4202	GL_101307	0.76532
GL_42328	GL_101307	0.68888
GL_42657	GL_101307	0.24559
GL_42698	GL_101307	0.44158
GL_4322	GL_101307	0.30349
GL_4912	GL_101307	0.73761
GL_4959	GL_101307	0.31336
GL_4977	GL_101307	0.74856
GL_5142	GL_101307	0.42781
GL_5346	GL_101307	0.76127
GL_5375	GL_101307	0.80235
GL_5489	GL_101307	0.29353
GL_5553	GL_101307	0.88093
GL_5554	GL_101307	0.69899
GL_5999	GL_101307	0.73015
GL_6140	GL_101307	0.24466
GL_6680	GL_101307	0.72433
GL_6731	GL_101307	0.62256
GL_7103	GL_101307	0.57019
GL_7183	GL_101307	0.26651
GL_7356	GL_101307	0.72616
GL_7514	GL_101307	0.69329
GL_7579	GL_101307	0.73187
GL_7653	GL_101307	0.67428
GL_8152	GL_101307	0.701
GL_8218	GL_101307	0.69167
GL_8350	GL_101307	0.69431
GL_8428	GL_101307	0.65876
GL_8445	GL_101307	0.70293
GL_8556	GL_101307	0.30094
GL_86934	GL_101307	0.89274
GL_87677	GL_101307	0.32809
GL_87928	GL_101307	0.70767
GL_8856	GL_101307	0.70138
GL_8860	GL_101307	0.27334
GL_8914	GL_101307	0.67874
GL_91220	GL_101307	0.32848
GL_91334	GL_101307	0.35152
GL_91451	GL_101307	0.68002
GL_9196	GL_101307	0.74494
GL_92498	GL_101307	0.63214
GL_9289	GL_101307	0.68803
GL_93221	GL_101307	0.67041
GL_9365	GL_101307	0.35402
GL_9421	GL_101307	0.6935
GL_94927	GL_101307	0.30188
GL_95003	GL_101307	0.68589
GL_95549	GL_101307	0.31103
GL_95593	GL_101307	0.79224000000000006
GL_95717	GL_101307	0.32624
GL_9658	GL_101307	0.30548
GL_9665	GL_101307	0.8699
GL_96878	GL_101307	0.48626
GL_97130	GL_101307	0.67496
GL_98050	GL_101307	0.27263
GL_9870	GL_101307	0.46489
GL_101307	GL_101534	0.70748
GL_101534	GL_101534	1
GL_101866	GL_101534	0.73872
GL_102034	GL_101534	0.31993
GL_102542	GL_101534	0.63246
GL_103944	GL_101534	0.28573
GL_10744	GL_101534	0.58087
GL_10893	GL_101534	0.83779
GL_11040	GL_101534	0.76581
GL_111938	GL_101534	0.76255
GL_112518	GL_101534	0.71207
GL_112553	GL_101534	0.7532
GL_113030	GL_101534	0.69645
GL_113094	GL_101534	0.3239
GL_11311	GL_101534	0.77451
GL_113553	GL_101534	0.7375
GL_11390	GL_101534	0.73312
GL_114120	GL_101534	0.33775
GL_114192	GL_101534	0.52974
GL_114307	GL_101534	0.28303
GL_114495	GL_101534	0.74772
GL_114535	GL_101534	0.48016
GL_114937	GL_101534	0.70706
GL_11554	GL_101534	0.82065
GL_119989	GL_101534	0.63426
GL_12095	GL_101534	0.72116
GL_12148	GL_101534	0.6952
GL_12152	GL_101534	0.70774
GL_12240	GL_101534	0.76769
GL_13215	GL_101534	0.65236
GL_13479	GL_101534	0.27399
GL_137676	GL_101534	0.74421
GL_137696	GL_101534	0.34744
GL_137701	GL_101534	0.72636
GL_137706	GL_101534	0.72437
GL_137719	GL_101534	0.73443
GL_137728	GL_101534	0.43473
GL_137733	GL_101534	0.75102
GL_137735	GL_101534	0.64103
GL_137737	GL_101534	0.4677
GL_137742	GL_101534	0.61694
GL_137743	GL_101534	0.6152
GL_13921	GL_101534	0.85086
GL_13963	GL_101534	0.82993
GL_13964	GL_101534	0.82689
GL_13981	GL_101534	0.3732
GL_14044	GL_101534	0.73015
GL_14216	GL_101534	0.696
GL_14223	GL_101534	0.83358
GL_14648	GL_101534	0.80783
GL_14742	GL_101534	0.84229
GL_14786	GL_101534	0.32301
GL_14835	GL_101534	0.35679
GL_14897	GL_101534	0.34899
GL_14916	GL_101534	0.69753
GL_15035	GL_101534	0.76272
GL_15049	GL_101534	0.71945
GL_15064	GL_101534	0.72329
GL_15338	GL_101534	0.82644
GL_15409	GL_101534	0.74561
GL_15411	GL_101534	0.7165
GL_15479	GL_101534	0.76044
GL_15953	GL_101534	0.30973
GL_16049	GL_101534	0.68605
GL_16122	GL_101534	0.34298
GL_16167	GL_101534	0.29632
GL_16205	GL_101534	0.69584
GL_16251	GL_101534	0.81478
GL_16272	GL_101534	0.31386
GL_16279	GL_101534	0.68431
GL_16460	GL_101534	0.32664
GL_16479	GL_101534	0.57794
GL_16508	GL_101534	0.33613
GL_16733	GL_101534	0.84826
GL_16765	GL_101534	0.69932
GL_16792	GL_101534	0.73974
GL_16824	GL_101534	0.72055
GL_16826	GL_101534	0.75925
GL_16839	GL_101534	0.71913
GL_16862	GL_101534	0.76779
GL_16879	GL_101534	0.45681
GL_16889	GL_101534	0.60867
GL_16943	GL_101534	0.43691
GL_16952	GL_101534	0.83303
GL_16967	GL_101534	0.35387
GL_16988	GL_101534	0.74346
GL_17069	GL_101534	0.82238
GL_17084	GL_101534	0.3343
GL_17188	GL_101534	0.67065
GL_17216	GL_101534	0.68815
GL_17231	GL_101534	0.33853
GL_17299	GL_101534	0.32347
GL_17318	GL_101534	0.25388
GL_17510	GL_101534	0.73668
GL_17578	GL_101534	0.32151
GL_2082	GL_101534	0.82106
GL_21366	GL_101534	0.71878
GL_21924	GL_101534	0.30831
GL_22451	GL_101534	0.28771
GL_24321	GL_101534	0.84156
GL_24400	GL_101534	0.72251
GL_2483	GL_101534	0.73267
GL_26199	GL_101534	0.83922
GL_27124	GL_101534	0.1962
GL_30354	GL_101534	0.69416
GL_3449	GL_101534	0.45802
GL_3546	GL_101534	0.73378
GL_3677	GL_101534	0.39529
GL_36783	GL_101534	0.67025
GL_38578	GL_101534	0.34077
GL_3957	GL_101534	0.71626
GL_40904	GL_101534	0.25777
GL_41186	GL_101534	0.33933
GL_4202	GL_101534	0.83248
GL_42328	GL_101534	0.70907
GL_42657	GL_101534	0.26171
GL_42698	GL_101534	0.44548
GL_4322	GL_101534	0.35279
GL_4912	GL_101534	0.83702
GL_4959	GL_101534	0.34208
GL_4977	GL_101534	0.85435
GL_5142	GL_101534	0.43987
GL_5346	GL_101534	0.83286
GL_5375	GL_101534	0.85259
GL_5489	GL_101534	0.29874
GL_5553	GL_101534	0.76733
GL_5554	GL_101534	0.83272
GL_5999	GL_101534	0.72974000000000006
GL_6140	GL_101534	0.32333
GL_6680	GL_101534	0.76794
GL_6731	GL_101534	0.64754
GL_7103	GL_101534	0.58446
GL_7183	GL_101534	0.29315
GL_7356	GL_101534	0.73768
GL_7514	GL_101534	0.72302
GL_7579	GL_101534	0.85141
GL_7653	GL_101534	0.71294
GL_8152	GL_101534	0.71851
GL_8218	GL_101534	0.73134
GL_8350	GL_101534	0.71486
GL_8428	GL_101534	0.69316
GL_8445	GL_101534	0.72961
GL_8556	GL_101534	0.31982
GL_86934	GL_101534	0.76423
GL_87677	GL_101534	0.32973
GL_87928	GL_101534	0.81243
GL_8856	GL_101534	0.71368
GL_8860	GL_101534	0.2864
GL_8914	GL_101534	0.70548
GL_91220	GL_101534	0.31839
GL_91334	GL_101534	0.34183
GL_91451	GL_101534	0.72211
GL_9196	GL_101534	0.85792
GL_92498	GL_101534	0.6495
GL_9289	GL_101534	0.71736
GL_93221	GL_101534	0.64983
GL_9365	GL_101534	0.36518
GL_9421	GL_101534	0.72789
GL_94927	GL_101534	0.35447
GL_95003	GL_101534	0.7096
GL_95549	GL_101534	0.30151
GL_95593	GL_101534	0.86258
GL_95717	GL_101534	0.3277
GL_9658	GL_101534	0.29563
GL_9665	GL_101534	0.74314
GL_96878	GL_101534	0.5182
GL_97130	GL_101534	0.69936
GL_98050	GL_101534	0.28473
GL_9870	GL_101534	0.48621
GL_101307	GL_101866	0.69035
GL_101534	GL_101866	0.73872
GL_101866	GL_101866	1
GL_102034	GL_101866	0.22488
GL_102542	GL_101866	0.36463
GL_103944	GL_101866	0.19975
GL_10744	GL_101866	0.30268
GL_10893	GL_101866	0.28653
GL_11040	GL_101866	0.28815
GL_111938	GL_101866	0.28989
GL_112518	GL_101866	0.71355
GL_112553	GL_101866	0.28825
GL_113030	GL_101866	0.70026
GL_113094	GL_101866	0.22075
GL_11311	GL_101866	0.29895
GL_113553	GL_101866	0.68737
GL_11390	GL_101866	0.74736
GL_114120	GL_101866	0.21224
GL_114192	GL_101866	0.25171
GL_114307	GL_101866	0.20619
GL_114495	GL_101866	0.2901
GL_114535	GL_101866	0.22453
GL_114937	GL_101866	0.67
GL_11554	GL_101866	0.2851
GL_119989	GL_101866	0.24759
GL_12095	GL_101866	0.67797
GL_12148	GL_101866	0.69031
GL_12152	GL_101866	0.3005
GL_12240	GL_101866	0.29021
GL_13215	GL_101866	0.36284
GL_13479	GL_101866	0.19894
GL_137676	GL_101866	0.28466
GL_137696	GL_101866	0.2273
GL_137701	GL_101866	0.25175
GL_137706	GL_101866	0.70258
GL_137719	GL_101866	0.29141
GL_137728	GL_101866	0.17911
GL_137733	GL_101866	0.30712
GL_137735	GL_101866	0.23896
GL_137737	GL_101866	0.20408
GL_137742	GL_101866	0.25051
GL_137743	GL_101866	0.25055
GL_13921	GL_101866	0.29413
GL_13963	GL_101866	0.29227
GL_13964	GL_101866	0.29889
GL_13981	GL_101866	0.2212
GL_14044	GL_101866	0.68847
GL_14216	GL_101866	0.73041
GL_14223	GL_101866	0.28964
GL_14648	GL_101866	0.2843
GL_14742	GL_101866	0.29325
GL_14786	GL_101866	0.22933
GL_14835	GL_101866	0.22085
GL_14897	GL_101866	0.21967
GL_14916	GL_101866	0.72311
GL_15035	GL_101866	0.30643
GL_15049	GL_101866	0.7023
GL_15064	GL_101866	0.29076
GL_15338	GL_101866	0.29094
GL_15409	GL_101866	0.32536
GL_15411	GL_101866	0.74823
GL_15479	GL_101866	0.29551
GL_15953	GL_101866	0.22628
GL_16049	GL_101866	0.70735
GL_16122	GL_101866	0.27629
GL_16167	GL_101866	0.20344
GL_16205	GL_101866	0.70902
GL_16251	GL_101866	0.29157
GL_16272	GL_101866	0.22222
GL_16279	GL_101866	0.68919
GL_16460	GL_101866	0.24081
GL_16479	GL_101866	0.28695
GL_16508	GL_101866	0.21152
GL_16733	GL_101866	0.32192
GL_16765	GL_101866	0.70228
GL_16792	GL_101866	0.29129
GL_16824	GL_101866	0.73341
GL_16826	GL_101866	0.29443
GL_16839	GL_101866	0.723
GL_16862	GL_101866	0.30498
GL_16879	GL_101866	0.19947
GL_16889	GL_101866	0.26596
GL_16943	GL_101866	0.24278
GL_16952	GL_101866	0.2935
GL_16967	GL_101866	0.27622
GL_16988	GL_101866	0.28124
GL_17069	GL_101866	0.33573
GL_17084	GL_101866	0.24617
GL_17188	GL_101866	0.6888
GL_17216	GL_101866	0.61465
GL_17231	GL_101866	0.22099
GL_17299	GL_101866	0.23653
GL_17318	GL_101866	0.20549
GL_17510	GL_101866	0.72966
GL_17578	GL_101866	0.22598
GL_2082	GL_101866	0.29307
GL_21366	GL_101866	0.72845
GL_21924	GL_101866	0.21687
GL_22451	GL_101866	0.2214
GL_24321	GL_101866	0.29675
GL_24400	GL_101866	0.29395
GL_2483	GL_101866	0.29077
GL_26199	GL_101866	0.28989
GL_27124	GL_101866	0.08334
GL_30354	GL_101866	0.72019
GL_3449	GL_101866	0.18598
GL_3546	GL_101866	0.3241
GL_3677	GL_101866	0.21772
GL_36783	GL_101866	0.71012
GL_38578	GL_101866	0.13652
GL_3957	GL_101866	0.48176
GL_40904	GL_101866	0.24667
GL_41186	GL_101866	0.22985
GL_4202	GL_101866	0.29027
GL_42328	GL_101866	0.33598
GL_42657	GL_101866	0.1892
GL_42698	GL_101866	0.1814
GL_4322	GL_101866	0.22775
GL_4912	GL_101866	0.29295
GL_4959	GL_101866	0.23075
GL_4977	GL_101866	0.29364
GL_5142	GL_101866	0.22261
GL_5346	GL_101866	0.29125
GL_5375	GL_101866	0.29083
GL_5489	GL_101866	0.20374
GL_5553	GL_101866	0.2928
GL_5554	GL_101866	0.33373
GL_5999	GL_101866	0.29992
GL_6140	GL_101866	0.19783
GL_6680	GL_101866	0.29466
GL_6731	GL_101866	0.36883
GL_7103	GL_101866	0.25116
GL_7183	GL_101866	0.21343
GL_7356	GL_101866	0.30691
GL_7514	GL_101866	0.70459
GL_7579	GL_101866	0.29134
GL_7653	GL_101866	0.71126
GL_8152	GL_101866	0.66308
GL_8218	GL_101866	0.6999
GL_8350	GL_101866	0.70398
GL_8428	GL_101866	0.72458
GL_8445	GL_101866	0.64512
GL_8556	GL_101866	0.25089
GL_86934	GL_101866	0.28738
GL_87677	GL_101866	0.23707
GL_87928	GL_101866	0.29118
GL_8856	GL_101866	0.61412
GL_8860	GL_101866	0.25148
GL_8914	GL_101866	0.6559
GL_91220	GL_101866	0.22405
GL_91334	GL_101866	0.22599
GL_91451	GL_101866	0.74767
GL_9196	GL_101866	0.29797
GL_92498	GL_101866	0.71774
GL_9289	GL_101866	0.74167
GL_93221	GL_101866	0.24934
GL_9365	GL_101866	0.22857
GL_9421	GL_101866	0.67658
GL_94927	GL_101866	0.21579
GL_95003	GL_101866	0.71734
GL_95549	GL_101866	0.19281
GL_95593	GL_101866	0.29823
GL_95717	GL_101866	0.22304
GL_9658	GL_101866	0.21579
GL_9665	GL_101866	0.31557
GL_96878	GL_101866	0.26244
GL_97130	GL_101866	0.71449
GL_98050	GL_101866	0.12586
GL_9870	GL_101866	0.2658
GL_101307	GL_102034	0.30087
GL_101534	GL_102034	0.31993
GL_101866	GL_102034	0.22488
GL_102034	GL_102034	1
GL_102542	GL_102034	0.23729
GL_103944	GL_102034	0.32924
GL_10744	GL_102034	0.28145
GL_10893	GL_102034	0.12069
GL_11040	GL_102034	0.11796
GL_111938	GL_102034	0.14569
GL_112518	GL_102034	0.19252
GL_112553	GL_102034	0.12209
GL_113030	GL_102034	0.18973
GL_113094	GL_102034	0.5222
GL_11311	GL_102034	0.14364
GL_113553	GL_102034	0.16913
GL_11390	GL_102034	0.19015
GL_114120	GL_102034	0.20196
GL_114192	GL_102034	0.30437
GL_114307	GL_102034	0.77505
GL_114495	GL_102034	0.14544
GL_114535	GL_102034	0.32122
GL_114937	GL_102034	0.19893
GL_11554	GL_102034	0.11811
GL_119989	GL_102034	0.12148
GL_12095	GL_102034	0.16755
GL_12148	GL_102034	0.18545
GL_12152	GL_102034	0.11895
GL_12240	GL_102034	0.15784
GL_13215	GL_102034	0.2002
GL_13479	GL_102034	0.29167
GL_137676	GL_102034	0.11662
GL_137696	GL_102034	0.54954
GL_137701	GL_102034	0.11419
GL_137706	GL_102034	0.17662
GL_137719	GL_102034	0.14481
GL_137728	GL_102034	0.12306
GL_137733	GL_102034	0.12246
GL_137735	GL_102034	0.09558
GL_137737	GL_102034	0.08551
GL_137742	GL_102034	0.16433
GL_137743	GL_102034	0.16743
GL_13921	GL_102034	0.12779
GL_13963	GL_102034	0.12935
GL_13964	GL_102034	0.16104
GL_13981	GL_102034	0.55843
GL_14044	GL_102034	0.1689
GL_14216	GL_102034	0.17963
GL_14223	GL_102034	0.12293
GL_14648	GL_102034	0.14945
GL_14742	GL_102034	0.11523
GL_14786	GL_102034	0.82371
GL_14835	GL_102034	0.5148
GL_14897	GL_102034	0.81314
GL_14916	GL_102034	0.19228
GL_15035	GL_102034	0.16631
GL_15049	GL_102034	0.17621
GL_15064	GL_102034	0.18379
GL_15338	GL_102034	0.1191
GL_15409	GL_102034	0.14997
GL_15411	GL_102034	0.18928
GL_15479	GL_102034	0.13605
GL_15953	GL_102034	0.55559
GL_16049	GL_102034	0.19012
GL_16122	GL_102034	0.51154
GL_16167	GL_102034	0.26706
GL_16205	GL_102034	0.19361
GL_16251	GL_102034	0.17693
GL_16272	GL_102034	0.51707
GL_16279	GL_102034	0.19205
GL_16460	GL_102034	0.55802
GL_16479	GL_102034	0.32561
GL_16508	GL_102034	0.82144
GL_16733	GL_102034	0.18841
GL_16765	GL_102034	0.18012
GL_16792	GL_102034	0.16645
GL_16824	GL_102034	0.20791
GL_16826	GL_102034	0.18907
GL_16839	GL_102034	0.18876
GL_16862	GL_102034	0.12537
GL_16879	GL_102034	0.2827
GL_16889	GL_102034	0.21796
GL_16943	GL_102034	0.32071
GL_16952	GL_102034	0.11202
GL_16967	GL_102034	0.29533
GL_16988	GL_102034	0.10764
GL_17069	GL_102034	0.14829
GL_17084	GL_102034	0.51215
GL_17188	GL_102034	0.20029
GL_17216	GL_102034	0.17428
GL_17231	GL_102034	0.83343
GL_17299	GL_102034	0.49818
GL_17318	GL_102034	0.28699
GL_17510	GL_102034	0.20439
GL_17578	GL_102034	0.83974
GL_2082	GL_102034	0.10637
GL_21366	GL_102034	0.18009
GL_21924	GL_102034	0.20992
GL_22451	GL_102034	0.16424
GL_24321	GL_102034	0.1187
GL_24400	GL_102034	0.15851
GL_2483	GL_102034	0.17604
GL_26199	GL_102034	0.13407
GL_27124	GL_102034	0.0426
GL_30354	GL_102034	0.20423
GL_3449	GL_102034	0.32916
GL_3546	GL_102034	0.16916
GL_3677	GL_102034	0.26839
GL_36783	GL_102034	0.18777
GL_38578	GL_102034	0.07188
GL_3957	GL_102034	0.17867
GL_40904	GL_102034	0.22224
GL_41186	GL_102034	0.78866
GL_4202	GL_102034	0.16525
GL_42328	GL_102034	0.16329
GL_42657	GL_102034	0.25527
GL_42698	GL_102034	0.08544
GL_4322	GL_102034	0.5368
GL_4912	GL_102034	0.12136
GL_4959	GL_102034	0.80455
GL_4977	GL_102034	0.13136
GL_5142	GL_102034	0.30029
GL_5346	GL_102034	0.14819
GL_5375	GL_102034	0.13002
GL_5489	GL_102034	0.19214
GL_5553	GL_102034	0.15705
GL_5554	GL_102034	0.16373
GL_5999	GL_102034	0.15607
GL_6140	GL_102034	0.30294
GL_6680	GL_102034	0.14355
GL_6731	GL_102034	0.22114
GL_7103	GL_102034	0.22273
GL_7183	GL_102034	0.24326
GL_7356	GL_102034	0.14815
GL_7514	GL_102034	0.19251
GL_7579	GL_102034	0.122
GL_7653	GL_102034	0.17782
GL_8152	GL_102034	0.17404
GL_8218	GL_102034	0.20237
GL_8350	GL_102034	0.18231
GL_8428	GL_102034	0.19491
GL_8445	GL_102034	0.16763
GL_8556	GL_102034	0.52136
GL_86934	GL_102034	0.12298
GL_87677	GL_102034	0.59991
GL_87928	GL_102034	0.16037
GL_8856	GL_102034	0.16966
GL_8860	GL_102034	0.29965
GL_8914	GL_102034	0.19459
GL_91220	GL_102034	0.57838
GL_91334	GL_102034	0.547
GL_91451	GL_102034	0.18317
GL_9196	GL_102034	0.13084
GL_92498	GL_102034	0.19084
GL_9289	GL_102034	0.17268
GL_93221	GL_102034	0.14328
GL_9365	GL_102034	0.54478
GL_9421	GL_102034	0.16064
GL_94927	GL_102034	0.57133
GL_95003	GL_102034	0.21123
GL_95549	GL_102034	0.30281
GL_95593	GL_102034	0.1292
GL_95717	GL_102034	0.57394
GL_9658	GL_102034	0.73749
GL_9665	GL_102034	0.13097
GL_96878	GL_102034	0.34457
GL_97130	GL_102034	0.20391
GL_98050	GL_102034	0.08108
GL_9870	GL_102034	0.28838
GL_101307	GL_102542	0.61293
GL_101534	GL_102542	0.63246
GL_101866	GL_102542	0.36463
GL_102034	GL_102542	0.23729
GL_102542	GL_102542	1
GL_103944	GL_102542	0.26682
GL_10744	GL_102542	0.30825
GL_10893	GL_102542	0.25728
GL_11040	GL_102542	0.26013
GL_111938	GL_102542	0.26215
GL_112518	GL_102542	0.37449
GL_112553	GL_102542	0.26212
GL_113030	GL_102542	0.365
GL_113094	GL_102542	0.29534
GL_11311	GL_102542	0.29544
GL_113553	GL_102542	0.35017
GL_11390	GL_102542	0.36017
GL_114120	GL_102542	0.23593
GL_114192	GL_102542	0.26517
GL_114307	GL_102542	0.2812
GL_114495	GL_102542	0.26783
GL_114535	GL_102542	0.27327
GL_114937	GL_102542	0.36843
GL_11554	GL_102542	0.25662
GL_119989	GL_102542	0.24459
GL_12095	GL_102542	0.35485
GL_12148	GL_102542	0.33652
GL_12152	GL_102542	0.27079
GL_12240	GL_102542	0.26196
GL_13215	GL_102542	0.58883
GL_13479	GL_102542	0.29522
GL_137676	GL_102542	0.26428
GL_137696	GL_102542	0.32488
GL_137701	GL_102542	0.22589
GL_137706	GL_102542	0.34093
GL_137719	GL_102542	0.25933
GL_137728	GL_102542	0.16661
GL_137733	GL_102542	0.27734
GL_137735	GL_102542	0.22172
GL_137737	GL_102542	0.17534
GL_137742	GL_102542	0.23406
GL_137743	GL_102542	0.2329
GL_13921	GL_102542	0.25584
GL_13963	GL_102542	0.25687
GL_13964	GL_102542	0.28464
GL_13981	GL_102542	0.29545
GL_14044	GL_102542	0.35725
GL_14216	GL_102542	0.35677
GL_14223	GL_102542	0.25696
GL_14648	GL_102542	0.25067
GL_14742	GL_102542	0.25743
GL_14786	GL_102542	0.28435
GL_14835	GL_102542	0.29534
GL_14897	GL_102542	0.24881
GL_14916	GL_102542	0.37078
GL_15035	GL_102542	0.27226
GL_15049	GL_102542	0.35109
GL_15064	GL_102542	0.26508
GL_15338	GL_102542	0.25681
GL_15409	GL_102542	0.27236
GL_15411	GL_102542	0.3609
GL_15479	GL_102542	0.27874
GL_15953	GL_102542	0.28995
GL_16049	GL_102542	0.3611
GL_16122	GL_102542	0.29411
GL_16167	GL_102542	0.2732
GL_16205	GL_102542	0.35553
GL_16251	GL_102542	0.25979
GL_16272	GL_102542	0.28629
GL_16279	GL_102542	0.35796
GL_16460	GL_102542	0.30996
GL_16479	GL_102542	0.29535
GL_16508	GL_102542	0.28115
GL_16733	GL_102542	0.3366
GL_16765	GL_102542	0.36006
GL_16792	GL_102542	0.26329
GL_16824	GL_102542	0.36323
GL_16826	GL_102542	0.26349
GL_16839	GL_102542	0.36417
GL_16862	GL_102542	0.26781
GL_16879	GL_102542	0.25147
GL_16889	GL_102542	0.25326
GL_16943	GL_102542	0.28097
GL_16952	GL_102542	0.25885
GL_16967	GL_102542	0.32673
GL_16988	GL_102542	0.25853
GL_17069	GL_102542	0.33247
GL_17084	GL_102542	0.32358
GL_17188	GL_102542	0.35145
GL_17216	GL_102542	0.33868
GL_17231	GL_102542	0.27493
GL_17299	GL_102542	0.28267
GL_17318	GL_102542	0.25242
GL_17510	GL_102542	0.37172
GL_17578	GL_102542	0.26797
GL_2082	GL_102542	0.25827
GL_21366	GL_102542	0.3729
GL_21924	GL_102542	0.24922
GL_22451	GL_102542	0.24572
GL_24321	GL_102542	0.25965
GL_24400	GL_102542	0.26422
GL_2483	GL_102542	0.25767
GL_26199	GL_102542	0.26013
GL_27124	GL_102542	0.07463
GL_30354	GL_102542	0.37715
GL_3449	GL_102542	0.22131
GL_3546	GL_102542	0.2705
GL_3677	GL_102542	0.18309
GL_36783	GL_102542	0.34847
GL_38578	GL_102542	0.12335
GL_3957	GL_102542	0.31881
GL_40904	GL_102542	0.28252
GL_41186	GL_102542	0.30842
GL_4202	GL_102542	0.2585
GL_42328	GL_102542	0.26685
GL_42657	GL_102542	0.25666
GL_42698	GL_102542	0.17583
GL_4322	GL_102542	0.28919
GL_4912	GL_102542	0.25769
GL_4959	GL_102542	0.28764
GL_4977	GL_102542	0.26137
GL_5142	GL_102542	0.25616
GL_5346	GL_102542	0.25915
GL_5375	GL_102542	0.27207
GL_5489	GL_102542	0.20262
GL_5553	GL_102542	0.27234
GL_5554	GL_102542	0.25527
GL_5999	GL_102542	0.26576
GL_6140	GL_102542	0.27525
GL_6680	GL_102542	0.29365
GL_6731	GL_102542	0.70173
GL_7103	GL_102542	0.27616
GL_7183	GL_102542	0.26674
GL_7356	GL_102542	0.27681
GL_7514	GL_102542	0.35808
GL_7579	GL_102542	0.26034
GL_7653	GL_102542	0.35216
GL_8152	GL_102542	0.3503
GL_8218	GL_102542	0.34328
GL_8350	GL_102542	0.36035
GL_8428	GL_102542	0.3535
GL_8445	GL_102542	0.35122
GL_8556	GL_102542	0.31987
GL_86934	GL_102542	0.26116
GL_87677	GL_102542	0.29427
GL_87928	GL_102542	0.27958
GL_8856	GL_102542	0.34626
