GeneID	codechain	code	chain	TM	RMSD	AApc	Cov	Cscore	C_sd	TM_model	TM_model_sd	RMSD_model	RMSD_model_sd	GDB_AA	seq.ssLen	nHrc	nErc	nCrc	strucSum	strpPDB_AA	PDB_AA	Species	Molecule
11	GL50803_100464	3qf4A1	3QF4	A	0.7299	2.26	0.053	0.9481	-2.1	1.35919	0.46	0.15	7.8	4.4	77	77	52	0	25	77	587	587	Thermotoga_maritima	ABC_transporter,_ATP-binding_protein
12	GL50803_100507	2q5tA	2Q5T	A	0.6555	3	0.054	0.9342	-2.94	0.813521	0.38	0.13	9.7	4.6	76	76	61	0	15	76	642	642	Vibrio_cholerae	Cholix_toxin
13	GL50803_10051	3zk4A	3ZK4	A	0.7408	2.67	0.126	0.7898	-2.98	0.121425	0.38	0.13	15.4	3.4	628	628	306	24	298	628	571	571	Lupinus_luteus	DIPHOSPHONUCLEOTIDE_PHOSPHATASE_1
14	GL50803_100530	1sirA	1SIR	A	0.5097	3.33	0.041	0.8684	-3.26	0.500935	0.35	0.12	10.5	4.6	76	76	24	0	52	76	394	394	Homo_sapiens	Glutaryl-CoA_dehydrogenase
15	GL50803_10055	4c2mC	4C2M	C	0.8297	1.09	0.303	0.8486	-0.21	0.879418	0.69	0.12	7	4.1	350	350	151	8	191	350	335	335	Saccharomyces_cerevisiae	DNA-DIRECTED_RNA_POLYMERASES_I_AND_III_SUBUNIT_RPAC1
16	GL50803_10056	1grnB	1GRN	B	0.8945	1.01	0.12	0.9242	0.7	0	0.81	0.09	3.9	2.6	198	198	139	0	59	198	203	203	Homo_sapiens	PROTEIN_(RHO_GTPASE_ACTIVATING_PROTEIN)
17	GL50803_100580	2e9fB1	2E9F	B	0.6044	3.51	0.051	0.8889	-3.71	0.395949	0.31	0.1	12.3	4.3	99	99	57	0	42	99	462	462	Thermus_thermophilus_HB8	Argininosuccinate_lyase
18	GL50803_10062	3c07A	3C07	A	0.6519	3.28	0.077	0.8206	-3.49	0.950149	0.33	0.11	13.9	3.9	223	223	150	4	69	223	273	273	Streptomyces_coelicolor_A3(2)	Putative_tetR-family_transcriptional_regulator
19	GL50803_10063	3ea5B	3EA5	B	0.7605	3.43	0.072	0.8995	-3.99	0.427907	0.29	0.09	17.1	2.8	418	418	182	3	233	418	861	861	Saccharomyces_cerevisiae	Importin_subunit_beta-1
20	GL50803_10073	1xjlA	1XJL	A	0.9022	1.36	0.129	0.935	0.21	1.02095	0.74	0.11	5.9	3.7	323	323	263	0	60	323	319	319	Homo_sapiens	Annexin_A2
21	GL50803_10079	4btgA	4BTG	A	0.8742	2.51	0.132	0.9261	-2.57	0.376755	0.42	0.14	14.7	3.6	744	744	428	1	315	744	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
22	GL50803_100845	1gt6A	1GT6	A	0.5833	1.84	0.172	0.6121	-3.2	0.243195	0.36	0.12	14.9	3.6	428	428	256	14	158	428	269	269	Thermomyces_lanuginosus	LIPASE
23	GL50803_100864	2ocwA	2OCW	A	0.8169	2.71	0.09	0.8776	-2.78	0.261885	0.4	0.13	14.3	3.8	531	531	118	10	403	531	585	585	Homo_sapiens	Polymeric-immunoglobulin_receptor
24	GL50803_100877	1vt4I	1VT4	I	0.4462	5.16	0.103	0.7104	-3.32	0.51363	0.35	0.12	13.4	4.1	221	221	11	11	199	221	1221	1221	Drosophila_melanogaster	Apaf-1_related_killer_DARK
25	GL50803_100887	4n48A	4N48	A	0.909	1.2	0.243	0.9303	0.97	1.39045	0.85	0.08	4.9	3.2	416	416	282	0	134	416	428	428	Homo_sapiens	Cap-specific_mRNA_(nucleoside-2'-O-)-methyltransferase_1
26	GL50803_10091	2otjK	2OTJ	K	0.9111	0.66	0.402	0.9296	1.38	2.38463	0.91	0.06	2	1.6	142	142	54	0	88	142	132	132	Haloarcula_marismortui	50S_ribosomal_protein_L14P
27	GL50803_100955	2v64A	2V64	A	0.969	0.72	0.42	0.9852	1.41	1.635	0.91	0.06	2.6	1.9	203	203	135	7	61	203	213	213	Homo_sapiens	MITOTIC_SPINDLE_ASSEMBLY_CHECKPOINT_PROTEIN_MAD2A
28	GL50803_100959	2b78A	2B78	A	0.5315	3.68	0.108	0.6594	-2.87	0.205971	0.39	0.13	13.3	4.1	323	323	202	14	107	323	385	385	Streptococcus_mutans	hypothetical_protein_SMU.776
29	GL50803_100969	3zheB1	3ZHE	B	0.7369	1.89	0.162	0.8114	-3.18	0.738826	0.36	0.12	12.4	4.3	175	175	107	0	68	175	395	395	Caenorhabditis_elegans	PROTEIN_SMG-7
30	GL50803_101011	4l9mA	4L9M	A	0.8414	3.19	0.068	0.9311	-2.05	0.501382	0.47	0.15	12.3	4.4	508	508	229	4	275	508	559	559	Homo_sapiens	RAS_guanyl-releasing_protein_1
31	GL50803_10112	3b95A	3B95	A	0.7788	2.79	0.171	0.9583	0.09	1.24588	0.73	0.11	4.5	3	144	144	123	0	21	144	237	237	Homo_sapiens	Euchromatic_histone-lysine_N-methyltransferase_1
32	GL50803_10116	4k7bA	4K7B	A	0.6131	2.76	0.065	0.9574	-1.69	0.760616	0.51	0.15	5.8	3.7	47	47	20	0	27	47	124	124	Chaetoceros_gracilis	Extrinsic_protein_in_photosystem_II
33	GL50803_101189	3fayA	3FAY	A	0.7556	3.21	0.141	0.8699	-3.24	0.276014	0.35	0.12	14.8	3.6	392	392	256	2	134	392	387	387	Homo_sapiens	Ras_GTPase-activating-like_protein_IQGAP1
34	GL50803_101194	4bedB	4BED	B	0.7899	6.1	0.071	0.9569	-3.34	0.494571	0.34	0.12	18.7	2.2	1416	1416	284	79	1053	1416	1734	1734	Megathura_crenulata	HEMOCYANIN_KLH1
35	GL50803_10122	3zciA	3ZCI	A	0.8073	2.61	0.124	0.9516	-2.16	1.263	0.46	0.15	10	4.6	186	186	140	3	43	186	220	220	Helicobacter_pylori	CAG_PATHOGENICITY_ISLAND_PROTEIN_(CAG18)
36	GL50803_10124	3pfdA	3PFD	A	0.6593	2.15	0.099	0.8409	-2.05	0.969061	0.47	0.15	8	4.4	88	88	52	0	36	88	393	393	Mycobacterium_thermoresistibile	Acyl-CoA_dehydrogenase
37	GL50803_10125	3qbrA	3QBR	A	0.6654	3.17	0.105	0.85	-3.19	0.61989	0.36	0.12	12.5	4.3	180	180	140	0	40	180	179	179	Schistosoma_japonicum	SJCHGC06286_protein
38	GL50803_101260	1b3uA	1B3U	A	0.8413	2.78	0.081	0.9199	-2.97	0.497377	0.38	0.13	15.1	3.5	587	587	410	0	177	587	588	588	Homo_sapiens	PROTEIN_(PROTEIN_PHOSPHATASE_PP2A)
39	GL50803_101278	2cse1	2CSE	1	0.8675	1.82	0.109	0.8865	-1.79	0.288721	0.5	0.15	14.2	3.8	1330	1330	265	37	1028	1330	1267	1267	Mammalian_orthoreovirus_1_Lang	Minor_core_protein_lambda_3
40	GL50803_101291	3hkeD	3HKE	D	0.9404	0.99	0.874	0.9553	1.23	0.566498	0.88	0.07	4.5	3	447	447	248	5	194	447	445	445	Ovis_aries	Tubulin_beta_chain
41	GL50803_101307	4apcA	4APC	A	0.8498	1.59	0.186	0.89	-0.7	1.57778	0.62	0.14	7.8	4.4	309	309	159	15	135	309	350	350	Homo_sapiens	SERINE/THREONINE-PROTEIN_KINASE_NEK1
42	GL50803_101309	1f0qA	1F0Q	A	0.5995	4.27	0.108	0.8953	-4.17	0.507921	0.27	0.08	15	3.5	172	172	90	0	82	172	332	332	Zea_mays	PROTEIN_KINASE_CK2,_ALPHA_SUBUNIT
43	GL50803_101326	2xkyI	2XKY	I	0.8276	2.81	0.097	0.925	-2.45	0.648302	0.43	0.14	12.1	4.4	320	320	14	0	306	320	309	309	Mus_musculus	INWARD_RECTIFIER_POTASSIUM_CHANNEL_2
44	GL50803_101330	1pv6A	1PV6	A	0.6713	4.79	0.083	0.878	-4.97	0.360411	0.21	0.05	19.9	1.8	410	410	283	3	124	410	417	417	Escherichia_coli	Lactose_permease
45	GL50803_101339	1fd9A	1FD9	A	0.8068	2.78	0.232	0.9209	-0.75	0.688639	0.62	0.14	7.1	4.2	215	215	110	8	97	215	213	213	Legionella_pneumophila	PROTEIN_(MACROPHAGE_INFECTIVITY_POTENTIATOR_PROTEIN)
46	GL50803_10136	4jspB	4JSP	B	0.9269	1.93	0.127	0.9851	-2.54	0.572245	0.42	0.14	12.5	4.3	336	336	258	0	78	336	1174	1174	Homo_sapiens	Serine/threonine-protein_kinase_mTOR
47	GL50803_101368	4nasA	4NAS	A	0.7074	4.01	0.098	0.8997	-4.66	0.212885	0.23	0.07	17.9	2.4	289	289	166	0	123	289	409	409	Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446	Ribulose-bisphosphate_carboxylase
48	GL50803_10137	1gojA	1GOJ	A	0.4608	1.02	0.355	0.4656	-2.58	0.0372022	0.42	0.14	14.7	3.6	756	756	543	9	204	756	355	355	Neurospora_crassa	KINESIN_HEAVY_CHAIN
49	GL50803_10139	2ynsA	2YNS	A	0.7914	3.11	0.11	0.9089	-2.3	0.74101	0.44	0.14	12.6	4.3	439	439	315	1	123	439	490	490	Oryza_sativa_Japonica_Group	IMPORTIN_SUBUNIT_ALPHA-1A
50	GL50803_10141	3w3tA	3W3T	A	0.9209	1.85	0.113	0.9726	-2.97	0.614283	0.38	0.13	14.1	3.8	401	401	237	1	163	401	1078	1078	Saccharomyces_cerevisiae_S288c	Importin_subunit_beta-3
51	GL50803_101423	3otgA	3OTG	A	0.6393	3.77	0.113	0.8266	-3.15	1.06382	0.36	0.12	13.3	4.1	248	248	116	1	131	248	412	412	Micromonospora_echinospora	CalG1
52	GL50803_10145	3w3tA	3W3T	A	0.7199	3.4	0.106	0.7707	-2.47	0.31435	0.43	0.14	15.9	3.2	1291	1291	919	21	351	1291	1078	1078	Saccharomyces_cerevisiae	Importin_subunit_beta-3
53	GL50803_101451	4k5yA	4K5Y	A	0.8194	2.47	0.114	0.9328	-1.81	1.14695	0.5	0.15	9.9	4.6	253	253	189	0	64	253	441	441	Homo_sapiens	Corticotropin-releasing_factor_receptor_1,_T4-Lysozyme_chimeric_construct
54	GL50803_10148	2x4gA	2X4G	A	0.8425	1.12	0.208	0.8643	0.14	0.948354	0.73	0.11	6.2	3.8	339	339	176	10	153	339	342	342	Pseudomonas_aeruginosa	NUCLEOSIDE-DIPHOSPHATE-SUGAR_EPIMERASE
55	GL50803_101484	1l8dA	1L8D	A	0.8816	1.45	0.043	1	-0.72	1.81259	0.62	0.14	4.7	3.1	70	70	55	1	14	70	112	112	Pyrococcus_furiosus	DNA_double-strand_break_repair_rad50_ATPase
56	GL50803_101501	3qneA	3QNE	A	0.9256	0.97	0.469	0.9387	0.89	0.726185	0.83	0.08	5.2	3.3	457	457	247	5	205	457	485	485	Candida_albicans	Seryl-tRNA_synthetase,_cytoplasmic
57	GL50803_101534	2w5bA	2W5B	A	0.8279	1.8	0.289	0.8877	-0.08	1.34726	0.7	0.12	6.3	3.8	285	285	132	14	139	285	279	279	Homo_sapiens	SERINE/THREONINE-PROTEIN_KINASE_NEK2
58	GL50803_101594	1u6gC	1U6G	C	0.9096	2.6	0.076	0.9585	-2.75	0.115169	0.4	0.13	16.2	3.1	1059	1059	461	5	593	1059	1230	1230	Homo_sapiens	TIP120_protein
59	GL50803_101599	4issA	4ISS	A	0.5554	3.35	0.062	0.913	-2.5	0.335881	0.42	0.14	8.5	4.5	69	69	30	1	38	69	644	644	Kluyveromyces_lactis	Allophanate_Hydrolase
60	GL50803_10161	3cnfB	3CNF	B	0.8771	2.72	0.12	0.9308	-2.72	0.254401	0.4	0.14	15.5	3.4	853	853	242	13	598	853	1333	1333	Bombyx_mori_cypovirus_1	VP1
61	GL50803_10162	3w3tA	3W3T	A	0.9147	2.24	0.12	0.9716	-2.83	0.54827	0.39	0.13	14.4	3.7	528	528	307	6	215	528	1078	1078	Saccharomyces_cerevisiae_S288c	Importin_subunit_beta-3
62	GL50803_101683	1ocrN	1OCR	N	0.5486	3.4	0.077	0.9136	-2.64	1.06618	0.41	0.14	9.2	4.6	81	81	36	0	45	81	514	514	Bos_taurus	CYTOCHROME_C_OXIDASE
63	GL50803_101739	3gavA	3GAV	A	0.6378	6.21	0.077	0.7661	-3.15	0.283972	0.36	0.12	17.6	2.5	1180	1180	157	15	1008	1180	1213	1213	Homo_sapiens	Complement_factor_H
64	GL50803_101768	4h3tA	4H3T	A	0.7358	2.27	0.146	0.843	-3.38	0.959967	0.34	0.11	12.9	4.2	172	172	147	0	25	172	543	543	Acidimicrobium_ferrooxidans_DSM_10331	CRISPR-associated_protein,_Cse1_family
65	GL50803_10181	4btgA	4BTG	A	0.9158	2.2	0.066	0.9578	-2.45	0.289275	0.43	0.14	14.4	3.7	758	758	281	5	472	758	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
66	GL50803_10182	2dc3A	2DC3	A	0.683	3.23	0.101	0.8963	-3.32	0.830841	0.35	0.12	12.6	4.3	164	164	133	0	31	164	193	193	Homo_sapiens	Cytoglobin
67	GL50803_101845	4bjmA	4BJM	A	0.837	1.98	0.121	0.9185	-2.7	1.24048	0.4	0.14	11.9	4.4	233	233	150	0	83	233	238	238	Melampsora_lini	AVRM
68	GL50803_101850	3kvwA	3KVW	A	0.8608	1.86	0.293	0.9059	-0.17	1.60761	0.69	0.12	7.2	4.2	404	404	215	0	189	404	429	429	Homo_sapiens	Dual_specificity_tyrosine-phosphorylation-regulated_kinase_2
69	GL50803_101866	4iw0A	4IW0	A	0.7264	1.83	0.091	0.7466	-2.47	0.309283	0.43	0.14	14.6	3.6	809	809	591	23	195	809	658	658	Homo_sapiens	Serine/threonine-protein_kinase_TBK1
70	GL50803_101877	1b3uA	1B3U	A	0.8454	2.26	0.101	0.8948	-3.27	0.431073	0.35	0.12	16	3.1	599	599	329	5	265	599	588	588	Homo_sapiens	PROTEIN_(PROTEIN_PHOSPHATASE_PP2A)
71	GL50803_101904	1auiA	1AUI	A	0.58	1.19	0.266	0.5886	-3.02	0.1002	0.37	0.13	15.4	3.4	615	615	286	5	324	615	521	521	Homo_sapiens	SERINE/THREONINE_PHOSPHATASE_2B
72	GL50803_101906	3eihA	3EIH	A	0.6807	0.89	0.534	0.6894	-2.96	0.204313	0.38	0.13	14.4	3.7	454	454	242	0	212	454	340	340	Saccharomyces_cerevisiae	Vacuolar_protein_sorting-associated_protein_4
73	GL50803_10191	4fzsA	4FZS	A	0.9595	0.34	0.083	1	-0.31	3.55531	0.67	0.12	2.6	1.9	36	36	27	0	9	36	224	224	Homo_sapiens	Sorting_nexin-1
74	GL50803_101918	1werA	1WER	A	0.841	2.75	0.133	0.9404	-2.8	1.05034	0.39	0.13	13	4.2	319	319	155	0	164	319	334	334	Homo_sapiens	P120GAP
75	GL50803_10192	4c0dA2	4C0D	A	0.5727	3.87	0.021	0.8333	-2.49	0.865161	0.42	0.14	10.3	4.6	150	150	94	2	54	150	812	812	Homo_sapiens	CCR4-NOT_TRANSCRIPTION_COMPLEX_SUBUNIT_1
76	GL50803_10193	3mkqA	3MKQ	A	0.7691	3	0.104	0.8229	-1.88	0.185968	0.49	0.15	13.5	4	960	960	269	127	564	960	814	814	Saccharomyces_cerevisiae	Coatomer_beta'-subunit
77	GL50803_10194	3jyyB1	3JYY	B	0.7573	2.79	0.133	0.9722	-2.36	0.712814	0.44	0.14	9.2	4.6	108	108	82	0	26	108	287	287	Enterococcus_faecium	Lincosamide_nucleotidyltransferase
78	GL50803_101943	2ehoG	2EHO	G	0.7152	2.28	0.194	0.8209	-0.04	1.03351	0.71	0.12	5.4	3.5	201	201	139	0	62	201	186	186	Homo_sapiens	DNA_replication_complex_GINS_protein_PSF2
79	GL50803_101955	4btgA	4BTG	A	0.8145	3.23	0.127	0.894	-3.95	0.304105	0.29	0.09	18.7	2.2	764	764	397	5	362	764	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
80	GL50803_10196	2o73F	2O73	F	0.6368	3.78	0.095	0.9024	-4.02	0.477368	0.28	0.09	14.5	3.7	164	164	132	0	32	164	174	174	Danio_rerio	OHCU_decarboxylase
81	GL50803_101994	4btgA	4BTG	A	0.8244	2.54	0.11	0.8735	-3.28	0.257014	0.35	0.12	17	2.8	830	830	299	0	531	830	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
82	GL50803_102022	2gsxA	2GSX	A	0.5976	7.35	0.058	0.8269	-2.3	0.475336	0.44	0.14	14.6	3.7	959	959	251	0	708	959	951	951	Homo_sapiens	Complement_receptor_type_2
83	GL50803_102034	4c0oA	4C0O	A	0.8278	2.33	0.081	0.8661	-1.77	0.387835	0.5	0.15	13.3	4.1	978	978	589	22	367	978	923	923	Homo_sapiens	TRANSPORTIN-3
84	GL50803_102051	1qgkA	1QGK	A	0.9161	2.31	0.07	0.9677	-2.63	0.498261	0.41	0.14	14.5	3.7	651	651	395	0	256	651	876	876	Homo_sapiens	PROTEIN_(IMPORTIN_BETA_SUBUNIT)
85	GL50803_102070	1bgpA	1BGP	A	0.6277	3.36	0.098	0.988	-2.19	1.42612	0.46	0.15	8.2	4.5	83	83	62	0	21	83	309	309	Hordeum_vulgare	BARLEY_GRAIN_PEROXIDASE
86	GL50803_102071	3gjxA	3GJX	A	0.8188	3.96	0.101	0.9206	-3.64	0.477887	0.32	0.1	18.5	2.2	970	970	371	6	593	970	1073	1073	Mus_musculus	Exportin-1
87	GL50803_102110	3ea5B	3EA5	B	0.9689	1.61	0.082	0.9926	-0.27	0.852727	0.68	0.12	9	4.6	810	810	799	0	11	810	861	861	Saccharomyces_cerevisiae	Importin_subunit_beta-1
88	GL50803_10217	2pbhA	2PBH	A	0.9077	1.37	0.318	0.9439	0.92	1.45109	0.84	0.08	4.3	2.9	303	303	125	7	171	303	317	317	Homo_sapiens	PROCATHEPSIN_B
89	GL50803_102170	1tiaA	1TIA	A	0.6491	4.41	0.106	0.9008	-4.86	0.297146	0.22	0.06	18.1	2.4	252	252	121	0	131	252	279	279	Penicillium_camemberti	LIPASE
90	GL50803_10218	2etlA	2ETL	A	0.8487	2.38	0.18	0.9798	-0.82	1.00558	0.61	0.14	7.1	4.1	198	198	151	0	47	198	228	228	Homo_sapiens	Ubiquitin_carboxyl-terminal_hydrolase_isozyme_L1
91	GL50803_10221	4ib4A	4IB4	A	0.8302	2.81	0.058	0.9341	-2.55	0.576833	0.42	0.14	12.5	4.3	334	334	240	4	90	334	430	430	Escherichia_coli	Chimera_protein_of_human_5-hydroxytryptamine_receptor_2B_and_E._Coli_soluble_cytochrome_b562
92	GL50803_102248	3w3tA	3W3T	A	0.9075	3.14	0.077	0.9667	-2.22	0.251189	0.45	0.15	14.6	3.7	1022	1022	971	0	51	1022	1078	1078	Saccharomyces_cerevisiae	Importin_subunit_beta-3
93	GL50803_102263	2zwaB	2ZWA	B	0.75	2.61	0.132	0.8455	-0.44	1.36667	0.66	0.13	7.4	4.2	330	330	139	22	169	330	695	695	Saccharomyces_cerevisiae	Leucine_carboxyl_methyltransferase_2
94	GL50803_10229	4g32A	4G32	A	0.8783	2.54	0.08	0.9372	-3.37	0.195591	0.34	0.11	16.2	3.1	573	573	335	9	229	573	688	688	Pseudomonas_aeruginosa	15S-LIPOXYGENASE
95	GL50803_10231	3p9dF	3P9D	F	0.9262	1.02	0.497	0.9392	0.48	0.491797	0.78	0.1	6.5	3.9	559	559	288	7	264	559	546	546	Saccharomyces_cerevisiae	T-complex_protein_1_subunit_zeta
96	GL50803_10232	4kvmA	4KVM	A	0.919	2.33	0.085	0.9701	-3.14	0.550127	0.36	0.12	16	3.2	669	669	436	0	233	669	734	734	Schizosaccharomyces_pombe_972h-	N-terminal_acetyltransferase_A_complex_subunit_nat1
97	GL50803_10238	2wdaA	2WDA	A	0.6987	1.9	0.146	0.7178	-2.23	0.0734847	0.45	0.15	14.6	3.7	1024	1024	268	58	698	1024	765	765	Streptomyces_violaceoruber	PUTATIVE_SECRETED_LYASE
98	GL50803_10239	4btgA	4BTG	A	0.8894	2.25	0.134	0.9616	-2.32	1.05152	0.44	0.14	12.1	4.4	365	365	150	0	215	365	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
99	GL50803_10241	4dlqA	4DLQ	A	0.8456	2.72	0.069	0.9418	-2.96	0.93865	0.38	0.13	13.2	4.1	292	292	136	0	156	292	381	381	Rattus_norvegicus	Latrophilin-1
100	GL50803_102448	3hz3A2	3HZ3	A	0.5688	3.75	0.075	0.9186	-2.97	0.42078	0.38	0.13	10.1	4.6	86	86	57	0	29	86	1039	1039	Lactobacillus_reuteri	Glucansucrase
101	GL50803_102455	3zfcA	3ZFC	A	0.2647	1.79	0.272	0.2705	-3.38	0.0448999	0.34	0.11	18.3	2.3	1194	1194	433	16	745	1194	350	350	Mus_musculus	CHROMOSOME-ASSOCIATED_KINESIN_KIF4
102	GL50803_102542	2pziA	2PZI	A	0.7501	1.83	0.161	0.7739	-2.42	0.370761	0.43	0.14	14.5	3.7	805	805	499	21	285	805	681	681	Mycobacterium_tuberculosis	Probable_serine/threonine-protein_kinase_pknG
103	GL50803_10255	2hyiI	2HYI	I	0.985	0.62	0.477	0.9923	1.57	1.12131	0.93	0.06	3.6	2.5	391	391	211	5	175	391	413	413	Homo_sapiens	Probable_ATP-dependent_RNA_helicase_DDX48
104	GL50803_10256	4k1pA	4K1P	A	0.8824	2.04	0.057	0.9798	-2.38	0.734564	0.44	0.14	10.7	4.6	198	198	190	0	8	198	360	360	Bacillus_cereus	NheA
105	GL50803_102575	1bp1A	1BP1	A	0.8605	1.19	0.147	0.8787	-0.58	0.560771	0.64	0.13	8.6	4.5	503	503	212	2	289	503	456	456	Homo_sapiens	BACTERICIDAL/PERMEABILITY-INCREASING_PROTEIN
106	GL50803_10260	4c0oA	4C0O	A	0.8635	2.04	0.098	0.902	-3.45	0.289095	0.33	0.11	17.2	2.7	745	745	399	2	344	745	923	923	Homo_sapiens	TRANSPORTIN-3
107	GL50803_10261	3i2dA	3I2D	A	0.5087	1.89	0.138	0.534	-3.77	0.0708237	0.31	0.1	17	2.8	515	515	224	0	291	515	371	371	Saccharomyces_cerevisiae	E3_SUMO-protein_ligase_SIZ1
108	GL50803_102617	3deoA	3DEO	A	0.7802	2.08	0.25	0.9259	0.08	1.99916	0.72	0.11	3.9	2.7	108	108	97	2	9	108	183	183	Arabidopsis_thaliana	Signal_recognition_particle_43_kDa_protein
109	GL50803_102647	3wajA	3WAJ	A	0.8228	2.4	0.093	0.8628	-2.37	0.377857	0.44	0.14	14.5	3.7	860	860	383	11	466	860	875	875	Archaeoglobus_fulgidus	Transmembrane_oligosaccharyl_transferase
110	GL50803_102688	4akvA	4AKV	A	0.773	3.03	0.098	0.8909	-4.21	0.592486	0.27	0.08	17.1	2.7	339	339	225	2	112	339	386	386	Homo_sapiens	SORTING_NEXIN-33
111	GL50803_10269	4i1mA	4I1M	A	0.7301	2.88	0.104	0.8689	-2.37	1.52196	0.44	0.14	10.8	4.6	206	206	119	0	87	206	302	302	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	LepB
112	GL50803_10270	4jvyA	4JVY	A	0.4308	1.24	0.169	0.442	-3.73	0.189947	0.31	0.1	16.3	3.1	414	414	159	3	252	414	196	196	Caenorhabditis_elegans	Female_germline-specific_tumor_suppressor_gld-1
113	GL50803_10271	3p5nA	3P5N	A	0.7353	1.5	0.057	0.9464	-1.46	0.89879	0.53	0.15	5.7	3.6	56	56	48	3	5	56	189	189	Staphylococcus_aureus_subsp._aureus_TCH60	Riboflavin_uptake_protein
114	GL50803_102710	3ihpB	3IHP	B	0.743	2.33	0.214	0.7774	-1.61	0.0842852	0.52	0.15	12.4	4.3	813	813	290	18	505	813	854	854	Homo_sapiens	Ubiquitin_carboxyl-terminal_hydrolase_5
115	GL50803_102722	2cseW	2CSE	W	0.8717	1.8	0.068	0.8894	-1.75	0.326839	0.5	0.15	13.9	3.9	1293	1293	292	100	901	1293	1275	1275	Mammalian_orthoreovirus	major_core_protein_lambda_1
116	GL50803_102728	2jktA	2JKT	A	0.7961	3.5	0.115	0.8986	-3.48	0.157658	0.33	0.11	16.7	2.9	621	621	384	3	234	621	623	623	Mus_musculus	AP-2_COMPLEX_SUBUNIT_ALPHA-2
117	GL50803_102761	1b25A	1B25	A	0.4941	4.72	0.054	0.8881	-4.22	0.294754	0.27	0.08	14.5	3.7	134	134	50	4	80	134	619	619	Pyrococcus_furiosus	PROTEIN_(FORMALDEHYDE_FERREDOXIN_OXIDOREDUCTASE)
118	GL50803_102841	3so8A	3SO8	A	0.8262	1.55	0.208	0.9	0.4	0.815166	0.77	0.1	4.1	2.7	160	160	141	2	17	160	162	162	Homo_sapiens	Ankyrin_repeat_family_A_protein_2
119	GL50803_102842	1n11A	1N11	A	0.8628	1.92	0.197	0.9786	0.62	2.00246	0.8	0.09	3.4	2.4	140	140	118	0	22	140	437	437	Homo_sapiens	Ankyrin
120	GL50803_102858	2wjvA	2WJV	A	0.615	2.02	0.197	0.6336	-2.51	0.0676461	0.42	0.14	15.6	3.3	1108	1108	320	26	762	1108	800	800	Homo_sapiens	REGULATOR_OF_NONSENSE_TRANSCRIPTS_1
